@relation .\access_log_Aug95
@attribute duration real
@attribute requests_count integer
@attribute avg_request_duration real
@data
15.0,2,15.0
43.0,2,43.0
69.0,2,69.0
563.0,7,93.83333333333333
349.0,6,69.8
1247.0,6,249.4
118.0,3,59.0
340.0,3,170.0
150.0,3,75.0
940.0,10,104.44444444444444
65.0,2,65.0
807.0,6,161.4
38.0,2,38.0
67.0,2,67.0
958.0,7,159.66666666666666
80.0,2,80.0
396.0,2,396.0
1227.0,9,153.375
66.0,3,33.0
1792.0,11,179.2
76.0,4,25.333333333333332
267.0,4,89.0
90.0,2,90.0
481.0,6,96.2
62.0,2,62.0
107.0,4,35.666666666666664
215.0,3,107.5
110.0,3,55.0
627.0,4,209.0
407.0,5,101.75
228.0,6,45.6
28.0,2,28.0
108.0,6,21.6
73.0,3,36.5
2.0,2,2.0
1050.0,9,131.25
684.0,5,171.0
319.0,3,159.5
607.0,3,303.5
264.0,3,132.0
1024.0,11,102.4
190.0,2,190.0
312.0,2,312.0
1001.0,5,250.25
792.0,3,396.0
31.0,2,31.0
927.0,4,309.0
12.0,2,12.0
112.0,3,56.0
44.0,2,44.0
18.0,2,18.0
671.0,7,111.83333333333333
103.0,5,25.75
419.0,4,139.66666666666666
23.0,3,11.5
44.0,4,14.666666666666666
32.0,2,32.0
59.0,3,29.5
292.0,2,292.0
101.0,3,50.5
563.0,9,70.375
62.0,3,31.0
100.0,2,100.0
40.0,2,40.0
1438.0,28,53.25925925925926
188.0,2,188.0
1041.0,6,208.2
142.0,2,142.0
3294.0,12,299.45454545454544
1224.0,13,102.0
1006.0,11,100.6
803.0,20,42.26315789473684
81.0,2,81.0
110.0,3,55.0
340.0,2,340.0
85.0,2,85.0
425.0,3,212.5
1021.0,22,48.61904761904762
100.0,2,100.0
267.0,7,44.5
751.0,5,187.75
377.0,2,377.0
78.0,2,78.0
799.0,6,159.8
467.0,4,155.66666666666666
480.0,4,160.0
435.0,2,435.0
204.0,4,68.0
430.0,4,143.33333333333334
890.0,5,222.5
406.0,5,101.5
483.0,7,80.5
212.0,19,11.777777777777779
918.0,10,102.0
121.0,4,40.333333333333336
682.0,6,136.4
85.0,2,85.0
246.0,7,41.0
414.0,4,138.0
433.0,2,433.0
194.0,5,48.5
94.0,4,31.333333333333332
284.0,2,284.0
242.0,7,40.333333333333336
539.0,3,269.5
5888.0,78,76.46753246753246
130.0,3,65.0
3490.0,25,145.41666666666666
635.0,5,158.75
490.0,5,122.5
159.0,2,159.0
223.0,9,27.875
79.0,2,79.0
403.0,2,403.0
215.0,3,107.5
320.0,7,53.333333333333336
77.0,2,77.0
676.0,4,225.33333333333334
715.0,17,44.6875
86.0,5,21.5
1053.0,8,150.42857142857142
265.0,4,88.33333333333333
72.0,3,36.0
1358.0,7,226.33333333333334
92.0,2,92.0
436.0,4,145.33333333333334
697.0,5,174.25
152.0,8,21.714285714285715
387.0,2,387.0
407.0,4,135.66666666666666
2491.0,18,146.52941176470588
41.0,3,20.5
453.0,4,151.0
802.0,7,133.66666666666666
276.0,5,69.0
131.0,3,65.5
189.0,5,47.25
141.0,2,141.0
544.0,2,544.0
420.0,2,420.0
82.0,4,27.333333333333332
285.0,3,142.5
338.0,2,338.0
2318.0,13,193.16666666666666
658.0,3,329.0
1660.0,10,184.44444444444446
246.0,2,246.0
1933.0,8,276.14285714285717
2477.0,15,176.92857142857142
242.0,3,121.0
605.0,3,302.5
1872.0,11,187.2
1783.0,7,297.1666666666667
154.0,5,38.5
426.0,6,85.2
111.0,4,37.0
43.0,2,43.0
853.0,6,170.6
555.0,6,111.0
277.0,5,69.25
557.0,2,557.0
546.0,7,91.0
17.0,3,8.5
12.0,2,12.0
31.0,3,15.5
159.0,4,53.0
542.0,7,90.33333333333333
102.0,3,51.0
23.0,2,23.0
124.0,2,124.0
904.0,7,150.66666666666666
43.0,2,43.0
118.0,2,118.0
174.0,3,87.0
188.0,2,188.0
86.0,2,86.0
562.0,2,562.0
460.0,3,230.0
84.0,2,84.0
84.0,2,84.0
262.0,3,131.0
15.0,2,15.0
10.0,2,10.0
20.0,2,20.0
21.0,2,21.0
14.0,2,14.0
14.0,2,14.0
18.0,2,18.0
16.0,2,16.0
548.0,2,548.0
474.0,2,474.0
24.0,2,24.0
378.0,18,22.235294117647058
295.0,2,295.0
4198.0,218,19.34562211981567
1638.0,75,22.135135135135137
14.0,5,3.5
23.0,5,5.75
374.0,6,74.8
423.0,3,211.5
194.0,2,194.0
472.0,7,78.66666666666667
33.0,2,33.0
62.0,4,20.666666666666668
551.0,30,19.0
898.0,18,52.8235294117647
540.0,2,540.0
99.0,2,99.0
490.0,2,490.0
250.0,2,250.0
119.0,3,59.5
276.0,5,69.0
919.0,8,131.28571428571428
20.0,2,20.0
185.0,3,92.5
120.0,3,60.0
234.0,2,234.0
416.0,3,208.0
199.0,2,199.0
39.0,2,39.0
485.0,4,161.66666666666666
86.0,2,86.0
123.0,2,123.0
370.0,2,370.0
589.0,3,294.5
322.0,2,322.0
349.0,3,174.5
475.0,4,158.33333333333334
415.0,5,103.75
2637.0,24,114.65217391304348
92.0,2,92.0
33.0,2,33.0
432.0,4,144.0
154.0,2,154.0
224.0,2,224.0
401.0,2,401.0
896.0,3,448.0
1389.0,10,154.33333333333334
193.0,3,96.5
246.0,3,123.0
103.0,3,51.5
373.0,2,373.0
1290.0,7,215.0
211.0,4,70.33333333333333
450.0,2,450.0
180.0,2,180.0
816.0,11,81.6
239.0,2,239.0
443.0,4,147.66666666666666
474.0,2,474.0
351.0,2,351.0
961.0,4,320.3333333333333
197.0,8,28.142857142857142
95.0,3,47.5
1762.0,13,146.83333333333334
119.0,3,59.5
407.0,4,135.66666666666666
61.0,3,30.5
43.0,4,14.333333333333334
586.0,2,586.0
574.0,2,574.0
288.0,2,288.0
698.0,3,349.0
646.0,3,323.0
249.0,7,41.5
23.0,2,23.0
20.0,3,10.0
341.0,9,42.625
170.0,5,42.5
1907.0,35,56.088235294117645
180.0,2,180.0
312.0,2,312.0
31.0,3,15.5
550.0,7,91.66666666666667
1113.0,17,69.5625
68.0,3,34.0
369.0,2,369.0
278.0,2,278.0
176.0,2,176.0
250.0,2,250.0
94.0,2,94.0
1182.0,40,30.307692307692307
412.0,6,82.4
17.0,2,17.0
287.0,6,57.4
87.0,2,87.0
47.0,2,47.0
358.0,2,358.0
265.0,2,265.0
447.0,2,447.0
39.0,2,39.0
176.0,2,176.0
63.0,3,31.5
469.0,3,234.5
242.0,3,121.0
153.0,2,153.0
43.0,2,43.0
545.0,7,90.83333333333333
269.0,3,134.5
439.0,3,219.5
30.0,2,30.0
421.0,4,140.33333333333334
438.0,3,219.0
239.0,2,239.0
118.0,3,59.0
176.0,3,88.0
56.0,3,28.0
118.0,2,118.0
202.0,2,202.0
35.0,3,17.5
23.0,2,23.0
9.0,2,9.0
72.0,6,14.4
337.0,4,112.33333333333333
474.0,5,118.5
276.0,2,276.0
204.0,5,51.0
1404.0,9,175.5
951.0,5,237.75
1775.0,18,104.41176470588235
43.0,2,43.0
21.0,2,21.0
233.0,4,77.66666666666667
10.0,2,10.0
823.0,5,205.75
31.0,2,31.0
493.0,2,493.0
164.0,2,164.0
8.0,2,8.0
43.0,2,43.0
48.0,3,24.0
371.0,4,123.66666666666667
432.0,3,216.0
651.0,6,130.2
14.0,3,7.0
497.0,7,82.83333333333333
96.0,3,48.0
531.0,2,531.0
402.0,9,50.25
539.0,6,107.8
325.0,3,162.5
14.0,2,14.0
46.0,2,46.0
361.0,2,361.0
476.0,3,238.0
378.0,2,378.0
29.0,2,29.0
50.0,3,25.0
25.0,3,12.5
433.0,6,86.6
56.0,5,14.0
537.0,3,268.5
30.0,2,30.0
7.0,2,7.0
438.0,4,146.0
1699.0,8,242.71428571428572
370.0,4,123.33333333333333
737.0,9,92.125
32.0,3,16.0
16.0,2,16.0
165.0,2,165.0
27.0,2,27.0
14.0,2,14.0
509.0,3,254.5
172.0,2,172.0
34.0,2,34.0
370.0,2,370.0
64.0,3,32.0
268.0,6,53.6
223.0,7,37.166666666666664
688.0,5,172.0
144.0,2,144.0
65.0,2,65.0
29.0,3,14.5
107.0,4,35.666666666666664
16.0,2,16.0
122.0,3,61.0
114.0,4,38.0
200.0,4,66.66666666666667
758.0,3,379.0
126.0,2,126.0
17.0,2,17.0
1390.0,14,106.92307692307692
24.0,2,24.0
116.0,4,38.666666666666664
70.0,2,70.0
327.0,3,163.5
36.0,2,36.0
70.0,4,23.333333333333332
144.0,9,18.0
395.0,5,98.75
1666.0,9,208.25
355.0,2,355.0
671.0,5,167.75
32.0,3,16.0
1145.0,11,114.5
90.0,2,90.0
756.0,3,378.0
275.0,2,275.0
335.0,2,335.0
2159.0,12,196.27272727272728
103.0,4,34.333333333333336
1441.0,6,288.2
1418.0,8,202.57142857142858
79.0,3,39.5
24.0,4,8.0
524.0,6,104.8
55.0,3,27.5
10.0,2,10.0
34.0,3,17.0
23.0,2,23.0
54.0,4,18.0
495.0,3,247.5
211.0,8,30.142857142857142
1007.0,5,251.75
5.0,2,5.0
139.0,4,46.333333333333336
12.0,2,12.0
31.0,2,31.0
225.0,2,225.0
62.0,2,62.0
30.0,3,15.0
419.0,5,104.75
3297.0,51,65.94
267.0,2,267.0
9.0,2,9.0
102.0,3,51.0
184.0,3,92.0
938.0,19,52.111111111111114
368.0,3,184.0
566.0,3,283.0
750.0,5,187.5
20.0,2,20.0
113.0,5,28.25
159.0,4,53.0
660.0,3,330.0
193.0,2,193.0
12.0,2,12.0
605.0,3,302.5
42.0,3,21.0
85.0,3,42.5
10.0,2,10.0
11.0,2,11.0
54.0,2,54.0
1383.0,17,86.4375
385.0,3,192.5
20.0,3,10.0
410.0,6,82.0
203.0,4,67.66666666666667
411.0,7,68.5
414.0,4,138.0
280.0,4,93.33333333333333
961.0,20,50.578947368421055
32.0,2,32.0
18.0,2,18.0
44.0,2,44.0
1084.0,10,120.44444444444444
206.0,7,34.333333333333336
233.0,6,46.6
433.0,8,61.857142857142854
614.0,17,38.375
497.0,3,248.5
272.0,2,272.0
137.0,2,137.0
356.0,2,356.0
459.0,2,459.0
91.0,2,91.0
306.0,5,76.5
20.0,2,20.0
504.0,2,504.0
78.0,5,19.5
227.0,4,75.66666666666667
126.0,2,126.0
403.0,3,201.5
89.0,2,89.0
730.0,7,121.66666666666667
669.0,16,44.6
271.0,8,38.714285714285715
1061.0,24,46.130434782608695
929.0,15,66.35714285714286
385.0,8,55.0
29.0,2,29.0
28.0,3,14.0
516.0,7,86.0
265.0,14,20.384615384615383
194.0,5,48.5
637.0,5,159.25
649.0,7,108.16666666666667
638.0,4,212.66666666666666
626.0,7,104.33333333333333
417.0,2,417.0
511.0,7,85.16666666666667
194.0,4,64.66666666666667
1321.0,13,110.08333333333333
508.0,8,72.57142857142857
2933.0,57,52.375
829.0,12,75.36363636363636
260.0,3,130.0
155.0,5,38.75
99.0,2,99.0
257.0,2,257.0
307.0,2,307.0
277.0,4,92.33333333333333
93.0,4,31.0
140.0,6,28.0
376.0,5,94.0
255.0,5,63.75
227.0,5,56.75
177.0,5,44.25
75.0,2,75.0
1049.0,9,131.125
115.0,3,57.5
47.0,2,47.0
54.0,2,54.0
23.0,2,23.0
664.0,7,110.66666666666667
126.0,5,31.5
46.0,2,46.0
269.0,5,67.25
662.0,5,165.5
1051.0,7,175.16666666666666
1004.0,10,111.55555555555556
1029.0,8,147.0
426.0,6,85.2
27.0,2,27.0
506.0,4,168.66666666666666
20.0,2,20.0
161.0,2,161.0
97.0,10,10.777777777777779
77.0,2,77.0
133.0,4,44.333333333333336
928.0,34,28.12121212121212
24.0,2,24.0
131.0,2,131.0
230.0,5,57.5
1199.0,13,99.91666666666667
1032.0,12,93.81818181818181
31.0,2,31.0
559.0,6,111.8
468.0,5,117.0
432.0,6,86.4
39.0,2,39.0
190.0,6,38.0
166.0,3,83.0
815.0,7,135.83333333333334
346.0,2,346.0
9.0,2,9.0
347.0,8,49.57142857142857
105.0,3,52.5
28.0,2,28.0
350.0,6,70.0
2359.0,30,81.34482758620689
1058.0,22,50.38095238095238
153.0,2,153.0
226.0,3,113.0
1524.0,17,95.25
335.0,3,167.5
377.0,2,377.0
2.0,2,2.0
2613.0,56,47.50909090909091
151.0,10,16.77777777777778
58.0,2,58.0
266.0,5,66.5
275.0,7,45.833333333333336
391.0,3,195.5
334.0,2,334.0
1281.0,7,213.5
132.0,4,44.0
73.0,2,73.0
413.0,2,413.0
1426.0,48,30.340425531914892
285.0,10,31.666666666666668
53.0,3,26.5
26.0,2,26.0
693.0,3,346.5
242.0,3,121.0
509.0,2,509.0
1575.0,19,87.5
1445.0,13,120.41666666666667
551.0,2,551.0
20.0,2,20.0
26.0,3,13.0
1285.0,8,183.57142857142858
720.0,8,102.85714285714286
389.0,7,64.83333333333333
114.0,2,114.0
229.0,4,76.33333333333333
1042.0,6,208.4
548.0,6,109.6
461.0,13,38.416666666666664
237.0,10,26.333333333333332
382.0,4,127.33333333333333
912.0,10,101.33333333333333
100.0,3,50.0
772.0,4,257.3333333333333
615.0,5,153.75
228.0,2,228.0
516.0,6,103.2
383.0,2,383.0
648.0,5,162.0
174.0,4,58.0
919.0,10,102.11111111111111
118.0,3,59.0
270.0,5,67.5
57.0,2,57.0
67.0,3,33.5
474.0,3,237.0
28.0,2,28.0
293.0,6,58.6
4454.0,34,134.96969696969697
969.0,15,69.21428571428571
554.0,9,69.25
103.0,2,103.0
168.0,2,168.0
49.0,2,49.0
1260.0,21,63.0
669.0,5,167.25
842.0,16,56.13333333333333
209.0,5,52.25
231.0,8,33.0
1789.0,11,178.9
440.0,2,440.0
866.0,17,54.125
236.0,8,33.714285714285715
1696.0,39,44.63157894736842
2.0,2,2.0
702.0,4,234.0
583.0,10,64.77777777777777
180.0,2,180.0
27.0,2,27.0
1357.0,10,150.77777777777777
715.0,5,178.75
1728.0,7,288.0
364.0,2,364.0
330.0,3,165.0
73.0,2,73.0
275.0,6,55.0
283.0,3,141.5
213.0,2,213.0
772.0,4,257.3333333333333
172.0,2,172.0
405.0,4,135.0
397.0,2,397.0
68.0,2,68.0
2189.0,19,121.61111111111111
441.0,4,147.0
1941.0,12,176.45454545454547
45.0,4,15.0
348.0,4,116.0
31.0,3,15.5
80.0,3,40.0
